time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.95336e-310,0,0,0,0,0,0,
0.01,6.05884e-06,1.00981e-05,-0.000147332,0.000605884,0.00100981,-0.0147332,0.0605884,0.100981,-1.47332,1,1.51471e-05,-9.08825e-06,0,0.00302942,-0.00181765,0,0.302942,-0.181765,0,1.5708,0.036353,0.0605884,0,0,-0,2.88435e-17,
0.02,1.8144e-05,3.02401e-05,0.000391173,0.00120852,0.0020142,0.0538504,0.0602637,0.100439,6.85836,1,4.54199e-05,-2.7252e-05,-4.1359e-25,0.00605457,-0.00363274,-8.47085e-23,0.302515,-0.181509,-8.47085e-21,1.57329,0.0363384,0.0605641,0.000178496,1.52562e-06,2.5427e-06,-0.00117333,
0.03,3.61507e-05,6.02511e-05,0.00244964,0.00180066,0.00300111,0.205846,0.0592144,0.0986906,15.1996,1,9.07674e-05,-5.44605e-05,-1.03398e-24,0.0090695,-0.0054417,-8.21273e-23,0.301493,-0.180896,2.5812e-22,1.56145,0.0363253,0.0605421,-0.000652307,2.09065e-05,3.48441e-05,0.00439819,
0.04,5.99002e-05,9.98337e-05,0.00686314,0.00237495,0.00395825,0.44135,0.0574288,0.0957146,23.5504,1,0.000151197,-9.07179e-05,-1.44757e-24,0.0120858,-0.00725149,-7.15229e-23,0.301632,-0.180979,1.06043e-21,1.53528,0.036332,0.0605534,-0.00249444,0.000303653,0.000506088,0.0167083,
0.05,8.91921e-05,0.000148654,0.0144677,0.00292919,0.00488199,0.760456,0.0554241,0.0923736,31.9106,1,0.000226992,-0.000136195,-1.44757e-24,0.0151592,-0.00909551,2.56717e-22,0.307336,-0.184402,3.2824e-20,1.49484,0.0363995,0.0606658,-0.00535921,0.00139091,0.00231819,0.0356887,
0.06,0.000123904,0.000206507,0.0261002,0.00347122,0.00578537,1.16325,0.0542032,0.0903386,40.2797,1,0.000319064,-0.000191438,2.06795e-25,0.0184143,-0.0110486,-3.97962e-23,0.325512,-0.195307,-2.96513e-20,1.44046,0.0365899,0.0609832,-0.00928407,0.00410371,0.00683951,0.0610992,
0.07,0.000164129,0.000273549,0.0425984,0.00402251,0.00670418,1.64982,0.0551283,0.0918804,48.6567,1,0.00042939,-0.000257634,1.0133e-23,0.0220652,-0.0132391,1.31546e-21,0.365086,-0.219052,1.35526e-19,1.37292,0.0369853,0.0616421,-0.0143577,0.00949237,0.0158206,0.0923753,
0.08,0.000210321,0.000350535,0.0648006,0.00461917,0.00769862,2.22021,0.0596662,0.0994436,57.0395,1,0.000561515,-0.000336909,3.66027e-23,0.0264251,-0.0158551,3.00927e-21,0.435995,-0.261597,1.6938e-19,1.29371,0.0376826,0.0628044,-0.020751,0.0187278,0.0312129,0.128477,
0.09,0.000263411,0.000439019,0.0935452,0.00530903,0.00884839,2.87447,0.0689864,0.114977,65.4251,1,0.000721019,-0.000432612,3.66027e-23,0.0319008,-0.0191405,2.9816e-22,0.547569,-0.328542,-2.71111e-19,1.20516,0.038787,0.064645,-0.0287494,0.0329266,0.0548777,0.167819,
0.1,0.000324849,0.000541415,0.129671,0.00614375,0.0102396,3.61256,0.0834715,0.139119,73.8092,0.999999,0.000915852,-0.000549511,4.98376e-23,0.0389666,-0.02338,2.981e-22,0.706583,-0.42395,-5.9632e-24,1.11041,0.0404009,0.0673348,-0.038779,0.0529432,0.0882386,0.208373,
0.11,0.000397453,0.000662422,0.173161,0.00726041,0.0121007,4.34902,0.111666,0.18611,73.6457,0.999999,0.00115694,-0.000694161,-5.60415e-23,0.0482166,-0.02893,-2.1386e-20,0.924999,-0.554999,-2.16841e-18,1.01307,0.0426138,0.071023,-0.0514202,0.0791996,0.131999,0.247957,
0.12,0.000484099,0.000806831,0.223998,0.00866456,0.0144409,5.0837,0.140415,0.234024,73.4689,0.999999,0.00145623,-0.000873739,-1.8839e-22,0.0598595,-0.0359157,-1.86712e-20,1.16428,-0.69857,2.71478e-19,0.926096,0.0451708,0.0752847,-0.0656417,0.108147,0.180245,0.281144,
0.13,0.000587427,0.000979045,0.282163,0.0103328,0.0172214,5.8165,0.166829,0.278048,73.2795,0.999998,0.00182626,-0.00109576,-2.4133e-22,0.0740055,-0.0444033,-1.5957e-20,1.4146,-0.848762,2.71424e-19,0.848925,0.0480112,0.0800187,-0.0815939,0.138804,0.231341,0.308549,
0.14,0.000709594,0.00118266,0.347636,0.0122167,0.0203612,6.54728,0.188389,0.313982,73.0785,0.999996,0.00227969,-0.00136782,-3.47209e-22,0.0906869,-0.0544122,5.73025e-21,1.66814,-1.00089,2.16872e-18,0.780654,0.0510821,0.0851369,-0.099382,0.170431,0.284052,0.330938,
0.15,0.000852054,0.00142009,0.420395,0.014246,0.0237433,7.27596,0.202922,0.338203,72.8672,0.999995,0.00282906,-0.00169744,7.63075e-23,0.109875,-0.065925,8.70443e-20,1.9188,-1.15128,8.1314e-18,0.720249,0.0543396,0.090566,-0.119077,0.202485,0.337474,0.349073,
0.16,0.00101537,0.00169228,0.50042,0.0163313,0.0272188,8.00242,0.208536,0.347559,72.6464,0.999992,0.00348652,-0.00209191,4.99824e-22,0.131493,-0.0788956,7.61848e-20,2.16178,-1.29707,-1.08594e-18,0.666674,0.0577479,0.0962465,-0.140725,0.23457,0.39095,0.363641,
0.17,0.00119904,0.0019984,0.587685,0.018367,0.0306117,8.72659,0.203573,0.339288,72.4171,0.999988,0.00426364,-0.00255818,1.1351e-21,0.155425,-0.0932549,7.61696e-20,2.39321,-1.43593,-1.5237e-21,0.618968,0.0612788,0.102131,-0.164354,0.266394,0.44399,0.375223,
0.18,0.00140136,0.00233561,0.682169,0.0202326,0.0337211,9.44839,0.186561,0.310935,72.1798,0.999982,0.00517124,-0.00310275,-5.58968e-22,0.181523,-0.108914,-1.29844e-19,2.60986,-1.56592,-2.06014e-17,0.576273,0.0649102,0.108184,-0.189978,0.297725,0.496209,0.384292,
0.19,0.00161931,0.00269885,0.783847,0.0217945,0.0363241,10.1677,0.156183,0.260304,71.9351,0.999974,0.00621928,-0.00373157,-4.79413e-21,0.209613,-0.125768,-3.90027e-19,2.80891,-1.68535,-2.60183e-17,0.537844,0.0686259,0.114376,-0.217602,0.328372,0.547286,0.391225,
0.2,0.00184838,0.00308063,0.892693,0.022907,0.0381784,10.8846,0.111257,0.185429,71.6833,0.999963,0.0074167,-0.00445002,-1.58056e-20,0.239491,-0.143694,-1.32236e-18,2.98781,-1.79269,-9.32336e-17,0.503041,0.0724138,0.12069,-0.247224,0.358159,0.596932,0.396317,
