time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
0,0,0,0,0,0,200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.01,0,0,1.92846,0,0,192.846,0,0,-715.356,1,0,0,0,0,0,0,0,0,0,0,0,0,-41.9096,0,0,0,
0.02,0,0,3.79035,0,0,186.189,0,0,-665.787,1,0,0,0,0,0,0,0,0,0,0,0,0,-38.9652,0,0,0,
0.03,0,0,5.59011,0,0,179.976,0,0,-621.274,1,0,0,0,0,0,0,0,0,0,0,0,0,-36.3212,0,0,0,
0.04,0,0,7.33175,0,0,174.164,0,0,-581.148,1,0,0,0,0,0,0,0,0,0,0,0,0,-33.9377,0,0,0,
0.05,0,0,9.01891,0,0,168.716,0,0,-544.846,1,0,0,0,0,0,0,0,0,0,0,0,0,-31.7814,0,0,0,
0.06,0,0,10.6549,0,0,163.597,0,0,-511.894,1,0,0,0,0,0,0,0,0,0,0,0,0,-29.824,0,0,0,
0.07,0,0,12.2427,0,0,158.778,0,0,-481.889,1,0,0,0,0,0,0,0,0,0,0,0,0,-28.0417,0,0,0,
0.08,0,0,13.785,0,0,154.233,0,0,-454.487,1,0,0,0,0,0,0,0,0,0,0,0,0,-26.414,0,0,0,
0.09,0,0,15.2844,0,0,149.939,0,0,-429.395,1,0,0,0,0,0,0,0,0,0,0,0,0,-24.9235,0,0,0,
0.1,0,0,16.7431,0,0,145.876,0,0,-406.357,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.5551,0,0,0,
0.11,0,0,18.1634,0,0,142.024,0,0,-385.154,1,0,0,0,0,0,0,0,0,0,0,0,0,-22.2956,0,0,0,
0.12,0,0,19.5471,0,0,138.368,0,0,-365.595,1,0,0,0,0,0,0,0,0,0,0,0,0,-21.1338,0,0,0,
0.13,0,0,20.896,0,0,134.893,0,0,-347.513,1,0,0,0,0,0,0,0,0,0,0,0,0,-20.0598,0,0,0,
0.14,0,0,22.2118,0,0,131.585,0,0,-330.763,1,0,0,0,0,0,0,0,0,0,0,0,0,-19.0648,0,0,0,
