time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.95336e-310,0,0,0,0,0,0,
0.01,3.87243e-05,1.93621e-05,-0.000147332,0.00387243,0.00193621,-0.0147332,0.387243,0.193621,-1.47332,1,2.90432e-05,-5.80864e-05,0,0.00580864,-0.0116173,0,0.580864,-1.16173,0,1.5708,0.232346,0.116173,0,0,-0,1.06042e-16,
0.02,0.00011595,5.79749e-05,0.000391053,0.00772254,0.00386127,0.0538384,0.385011,0.192506,6.85716,1,8.7077e-05,-0.000174154,0,0.0116068,-0.0232135,0,0.579811,-1.15962,0,1.57198,0.232166,0.116083,0.000342187,2.42481e-06,1.21241e-06,-0.00205648,
0.03,0.000230976,0.000115488,0.00245006,0.0115026,0.0057513,0.205901,0.378007,0.189003,15.2063,1,0.000173981,-0.000347962,0,0.0173808,-0.0347616,0,0.577406,-1.15481,0,1.56559,0.23199,0.115995,-0.00124996,3.88204e-05,1.94102e-05,0.00900621,
0.04,0.000382415,0.000191208,0.00686648,0.0151439,0.00757197,0.441642,0.364133,0.182067,23.574,1,0.000289585,-0.000579169,0,0.0231207,-0.0462414,0,0.573989,-1.14798,0,1.55158,0.231851,0.115925,-0.00477934,0.000547422,0.000273711,0.033195,
0.05,0.000568081,0.000284041,0.0144789,0.0185666,0.0092833,0.761245,0.342266,0.171133,31.9604,1,0.000433755,-0.00086751,0,0.0288341,-0.0576682,0,0.571339,-1.14268,0,1.52996,0.231824,0.115912,-0.0102538,0.00249402,0.00124701,0.0704826,
0.06,0.00078497,0.000392485,0.0261279,0.0216889,0.0108444,1.1649,0.31223,0.156115,40.365,0.999999,0.000606558,-0.00121312,0,0.0345607,-0.0691214,0,0.572659,-1.14532,0,1.50075,0.232022,0.116011,-0.0176954,0.00736704,0.00368352,0.120746,
0.07,0.00102933,0.000514666,0.0426556,0.0244361,0.0122181,1.65277,0.274721,0.13736,48.7873,0.999998,0.000808487,-0.00161697,0,0.0403857,-0.0807714,0,0.582503,-1.16501,0,1.46404,0.232597,0.116298,-0.027154,0.017154,0.00857698,0.183673,
0.08,0.0012968,0.000648401,0.0649059,0.0267471,0.0133736,2.22503,0.231102,0.115551,57.2261,0.999997,0.00104074,-0.00208149,0,0.0464516,-0.0929031,0,0.606586,-1.21317,0,1.42006,0.233737,0.116868,-0.0387259,0.0342824,0.0171412,0.258646,
0.09,0.00158258,0.00079129,0.0937241,0.0285777,0.0142889,2.88182,0.183058,0.0915289,65.6793,0.999996,0.00130557,-0.00261115,0,0.052966,-0.105932,0,0.651446,-1.30289,0,1.36918,0.235661,0.11783,-0.0525758,0.0615073,0.0307537,0.344618,
0.1,0.00188156,0.000940781,0.129957,0.0298982,0.0149491,3.62326,0.132051,0.0660254,74.1437,0.999994,0.0016066,-0.00321319,0,0.060205,-0.12041,0,0.723902,-1.4478,0,1.312,0.238613,0.119307,-0.0689612,0.101731,0.0508653,0.439999,
0.11,0.00219389,0.00109695,0.173597,0.0312331,0.0156165,4.36399,0.133488,0.0667441,74.0735,0.99999,0.00194996,-0.00389992,0,0.0686728,-0.137346,0,0.846778,-1.69356,0,1.24934,0.242853,0.121427,-0.0882558,0.157754,0.0788769,0.542613,
0.12,0.00252019,0.00126009,0.224636,0.0326296,0.0163148,5.10391,0.139645,0.0698227,73.9913,0.999986,0.00234299,-0.00468598,0,0.0786073,-0.157215,0,0.993443,-1.98689,0,1.18887,0.247965,0.123983,-0.108551,0.22386,0.11193,0.63921,
0.13,0.00286107,0.00143054,0.283064,0.0340886,0.0170443,5.84287,0.145902,0.072951,73.8958,0.99998,0.00279401,-0.00558802,0,0.0902051,-0.18041,0,1.15979,-2.31957,0,1.13083,0.253891,0.126945,-0.130008,0.298728,0.149364,0.729228,
0.14,0.00321669,0.00160834,0.348872,0.0355615,0.0177808,6.58073,0.147294,0.0736468,73.7862,0.999973,0.0033121,-0.0066242,0,0.10362,-0.207241,0,1.34154,-2.68307,0,1.07533,0.260568,0.130284,-0.152767,0.381011,0.190505,0.812341,
0.15,0.00358617,0.00179309,0.422045,0.0369482,0.0184741,7.31734,0.138674,0.069337,73.6618,0.999962,0.0039069,-0.00781381,0,0.118965,-0.237929,0,1.53443,-3.06885,0,1.02243,0.267938,0.133969,-0.176952,0.469388,0.234694,0.888425,
0.16,0.00396714,0.00198357,0.502571,0.0380967,0.0190483,8.05257,0.114844,0.0574222,73.5222,0.999947,0.00458841,-0.00917682,0,0.136307,-0.272615,0,1.73427,-3.46854,0,0.972106,0.275943,0.137972,-0.202666,0.562594,0.281297,0.957511,
0.17,0.00435517,0.00217759,0.590433,0.0388032,0.0194016,8.78624,0.0706531,0.0353265,73.3674,0.999928,0.00536675,-0.0107335,0,0.155678,-0.311356,0,1.93704,-3.87408,0,0.924281,0.284531,0.142266,-0.229997,0.659435,0.329718,1.01974,
0.18,0.00474331,0.00237165,0.685615,0.0388139,0.019407,9.51821,0.00106926,0.000534631,73.197,0.999902,0.00625201,-0.012504,0,0.177067,-0.354133,0,2.13888,-4.27776,0,0.878843,0.293655,0.146828,-0.259017,0.758794,0.379397,1.07533,
0.19,0.00512157,0.00256079,0.788098,0.0378263,0.0189131,10.2483,-0.0987634,-0.0493817,73.0111,0.999868,0.00725403,-0.0145081,0,0.200428,-0.400855,0,2.3361,-4.67221,0,0.835647,0.303273,0.151637,-0.289786,0.859617,0.429809,1.12453,
0.2,0.00547649,0.00273824,0.897863,0.0354914,0.0177457,10.9764,-0.233487,-0.116743,72.8093,0.999824,0.00838226,-0.0167645,0,0.225679,-0.451359,0,2.52517,-5.05034,0,0.794534,0.313351,0.156676,-0.322352,0.960907,0.480453,1.1676,
0.21,0.00579065,0.00289533,1.01489,0.0314165,0.0157082,11.7023,-0.407495,-0.203747,72.5915,0.999767,0.00964553,-0.0192911,0,0.252706,-0.505412,0,2.70266,-5.40533,0,0.755335,0.323862,0.161931,-0.356751,1.0617,0.530852,1.20478,
0.22,0.00604232,0.00302116,1.13914,0.0251674,0.0125837,12.4259,-0.624906,-0.312453,72.357,0.999695,0.0110519,-0.0221039,0,0.281358,-0.562717,0,2.86525,-5.73049,0,0.71788,0.334786,0.167393,-0.393012,1.16107,0.580534,1.23631,
0.23,0.00620505,0.00310252,1.27061,0.0162721,0.00813603,13.147,-0.889534,-0.444767,72.1053,0.999602,0.0126087,-0.0252173,0,0.311455,-0.62291,0,3.00964,-6.01928,0,0.681999,0.346108,0.173054,-0.431156,1.25807,0.629035,1.26239,
0.24,0.00624728,0.00312364,1.40927,0.00422353,0.00211177,13.8653,-1.20485,-0.602426,71.8354,0.999487,0.0143218,-0.0286436,0,0.342781,-0.685562,0,3.13261,-6.26522,0,0.647535,0.357824,0.178912,-0.471196,1.35177,0.675885,1.28316,
0.25,0.00613212,0.00306606,1.55508,-0.0115161,-0.00575805,14.5808,-1.57396,-0.786982,71.5465,0.999344,0.0161962,-0.0323923,0,0.37509,-0.750181,0,3.23094,-6.46188,0,0.614337,0.369933,0.184966,-0.51314,1.44122,0.720611,1.29876,
0.26,0.005817,0.0029085,1.70801,-0.0315116,-0.0157558,15.2931,-1.99955,-0.999775,71.2373,0.999168,0.0182352,-0.0364703,0,0.408105,-0.81621,0,3.30144,-6.60288,0,0.582267,0.382442,0.191221,-0.556988,1.52545,0.762725,1.30926,
0.27,0.0052535,0.00262675,1.86803,-0.0563499,-0.028175,16.0022,-2.48383,-1.24191,70.9064,0.998955,0.0204407,-0.0408813,0,0.441514,-0.883029,0,3.34096,-6.68193,0,0.551202,0.395365,0.197682,-0.602737,1.60347,0.801734,1.31474,
0.28,0.00438716,0.00219358,2.03511,-0.0866349,-0.0433174,16.7077,-3.0285,-1.51425,70.5522,0.998698,0.0228128,-0.0456256,0,0.474979,-0.949957,0,3.34642,-6.69284,0,0.521031,0.40872,0.20436,-0.650378,1.67427,0.837134,1.31521,
0.29,0.00315734,0.00157867,2.2092,-0.122982,-0.0614908,17.4095,-3.63467,-1.81734,70.1732,0.998392,0.0253497,-0.0506995,0,0.508127,-1.01625,0,3.31482,-6.62965,0,0.491662,0.422534,0.211267,-0.699895,1.73684,0.86842,1.31069,
0.3,0.00149724,0.000748622,2.39027,-0.16601,-0.0830049,18.1071,-4.30281,-2.15141,69.7678,0.998031,0.0280477,-0.0560954,0,0.540561,-1.08112,0,3.24337,-6.48673,0,0.463015,0.436836,0.218418,-0.75127,1.79018,0.895091,1.30116,
0.31,-0.000666121,-0.00033306,2.57828,-0.216336,-0.108168,18.8005,-5.03267,-2.51634,69.3341,0.99761,0.0309008,-0.0618015,0,0.571855,-1.14371,0,3.12946,-6.25893,0,0.435027,0.451662,0.225831,-0.804476,1.83331,0.916656,1.28661,
0.32,-0.00341181,-0.0017059,2.77317,-0.274568,-0.137284,19.4892,-5.82321,-2.9116,68.8706,0.997123,0.0339007,-0.0678013,0,0.601564,-1.20313,0,2.97087,-5.94173,0,0.407649,0.467051,0.233525,-0.859484,1.86531,0.932655,1.26703,
0.33,-0.00682474,-0.00341237,2.9749,-0.341294,-0.170647,20.1729,-6.67253,-3.33626,68.376,0.996565,0.0370369,-0.0740737,0,0.629221,-1.25844,0,2.76574,-5.53148,0,0.38085,0.483045,0.241523,-0.916259,1.88533,0.942664,1.24241,
0.34,-0.0109955,-0.00549773,3.18341,-0.417072,-0.208536,20.8514,-7.57782,-3.78891,67.8489,0.995932,0.0402963,-0.0805927,0,0.654349,-1.3087,0,2.5128,-5.02559,0,0.354611,0.499693,0.249846,-0.974759,1.89263,0.946313,1.21278,
0.35,-0.0160197,-0.00800986,3.39866,-0.502425,-0.251212,21.5243,-8.53529,-4.26764,67.2885,0.995222,0.0436637,-0.0873274,0,0.676463,-1.35293,0,2.21138,-4.42275,0,0.328931,0.517041,0.258521,-1.03494,1.88662,0.943308,1.17816,
0.36,-0.021998,-0.010999,3.62057,-0.597826,-0.298913,22.1913,-9.54014,-4.77007,66.6943,0.994433,0.0471212,-0.0942423,0,0.695079,-1.39016,0,1.86159,-3.72318,0,0.30382,0.535142,0.267571,-1.09675,1.86688,0.93344,1.13864,
0.37,-0.0290349,-0.0145174,3.84909,-0.703691,-0.351846,22.8519,-10.5865,-5.29326,66.0666,0.993566,0.0506485,-0.101297,0,0.709723,-1.41945,0,1.46441,-2.92883,0,0.279303,0.554045,0.277023,-1.16014,1.83322,0.916608,1.09436,
0.38,-0.0372386,-0.0186193,4.08415,-0.820367,-0.410184,23.506,-11.6676,-5.83379,65.406,0.992622,0.0542234,-0.108447,0,0.719941,-1.43988,0,1.02178,-2.04355,0,0.255417,0.573802,0.286901,-1.22504,1.78566,0.892832,1.04549,
0.39,-0.0467198,-0.0233599,4.32568,-0.948121,-0.47406,24.1531,-12.7754,-6.38769,64.714,0.991607,0.0578213,-0.115643,0,0.725307,-1.45061,0,0.536645,-1.07329,0,0.232213,0.594461,0.297231,-1.2914,1.72454,0.862271,0.992309,
0.4,-0.0575911,-0.0287955,4.57361,-1.08713,-0.543566,24.7931,-13.9011,-6.95053,63.9929,0.990525,0.0614161,-0.122832,0,0.725438,-1.45088,0,0.0130604,-0.0261209,0,0.209748,0.616071,0.308035,-1.35914,1.65045,0.825225,0.935144,
0.41,-0.0699659,-0.0349829,4.82786,-1.23748,-0.61874,25.4255,-15.0349,-7.51745,63.2457,0.989388,0.06498,-0.12996,0,0.719999,-1.44,0,-0.543839,1.08768,0,0.188092,0.638673,0.319337,-1.4282,1.5643,0.782152,0.874421,
0.42,-0.0839573,-0.0419787,5.08837,-1.39914,-0.699572,26.0503,-16.1663,-8.08316,62.4764,0.988205,0.0684839,-0.136968,0,0.708721,-1.41744,0,-1.12784,2.25569,0,0.167321,0.662308,0.331154,-1.49851,1.46733,0.733665,0.810657,
0.43,-0.0996772,-0.0498386,5.35504,-1.57199,-0.785993,26.6672,-17.2842,-8.64209,61.6899,0.986992,0.0718981,-0.143796,0,0.691404,-1.38281,0,-1.73172,3.46344,0,0.147517,0.687007,0.343503,-1.57001,1.36106,0.680531,0.744471,
0.44,-0.117235,-0.0586174,5.6278,-1.75575,-0.877877,27.2761,-18.3768,-9.1884,60.8917,0.985764,0.0751922,-0.150384,0,0.667931,-1.33586,0,-2.34732,4.69463,0,0.128767,0.712796,0.356398,-1.64261,1.24733,0.623663,0.676583,
0.45,-0.136735,-0.0683677,5.90657,-1.95008,-0.975038,27.877,-19.4322,-9.7161,60.0883,0.984539,0.0783362,-0.156672,0,0.638274,-1.27655,0,-2.96567,5.93134,0,0.111158,0.739693,0.369847,-1.71626,1.12822,0.56411,0.607816,
0.46,-0.15828,-0.07914,6.19127,-2.15446,-1.07723,28.4698,-20.4383,-10.2191,59.2868,0.983337,0.0813004,-0.162601,0,0.602502,-1.205,0,-3.57716,7.15432,0,0.0947792,0.767707,0.383854,-1.7909,1.00608,0.503041,0.539099,
